,list_price,bathrooms,sqft,parking,mean_district_income,district_code,final_price_transformed,final_price_log,bedrooms_ag,bedrooms_bg
6438,650000,2,1300.0,1,52787,14,2.3909964232579326,13.462400680190038,3,0
6439,299900,1,850.0,1,38527,31,2.387222066137849,12.604848765487542,4,0
6441,1089000,2,1300.0,1,70600,77,2.392348463825402,13.863347887378437,2,0
6444,350000,1,550.0,1,33256,127,2.388246596692284,12.80902155817197,1,0
6447,724900,1,650.0,0,70600,77,2.3910352225686973,13.473020249017498,1,1
6448,729900,2,750.0,1,89330,100,2.391184798483604,13.514405465180351,2,0
6451,460000,1,250.0,0,70600,77,2.389300818218745,13.038981768465275,0,1
6452,628000,1,650.0,1,169203,103,2.3904955853134893,13.329377546788654,1,0
6453,659000,1,650.0,0,56526,76,2.3909304360502817,13.444446876573442,1,1
6455,1560000,2,2124.0,2,207903,98,2.393740287862849,14.360737608447597,3,0
6456,415000,1,550.0,1,52035,52,2.3892130555770548,13.018974250615244,1,1
6457,529000,1,1100.0,1,33528,91,2.390557802484917,13.34550692871854,3,0
6458,1725000,2,1700.0,2,70600,77,2.3936733536331176,14.334304351379442,2,1
6459,679900,1,650.0,1,70600,77,2.391012013089079,13.466662050275003,1,0
6460,749000,2,1500.0,1,52035,52,2.391160471429336,13.507625778194974,3,0
6461,429000,1,550.0,0,36359,53,2.388613783824835,12.88664104388326,1,0
6462,749900,1,750.0,1,70600,77,2.391184798483604,13.514405465180351,1,1
6463,392512,1,550.0,1,34200,118,2.388432125250841,12.84792653170257,1,0
6464,588000,2,1100.0,2,31826,117,2.3904511739845518,13.317930160948304,3,0
6467,720000,2,650.0,1,70600,77,2.3909833595061465,13.458835614025542,2,0
6468,475000,1,250.0,0,53583,75,2.389300818218745,13.038981768465275,0,0
6469,695800,2,950.0,1,54438,17,2.3909197208423403,13.44154411691548,3,0
6470,769499,3,1300.0,0,44101,18,2.391321440663165,13.55284624848778,2,1
